Cluster 1 ,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9 ,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20,Cluster 21,Cluster 22,Cluster 23,Custer 24,Cluster 25,Cluster 26,Cluster 27,Cluster 28,Cluster 29,Cluster 30,Cluster 31,Cluster 32,Cluster 33,Cluster 34
-0.25,-0.333333333,-0.333333333,-0.25,0,0,-0.25,-0.333333333,-0.333333333,-0.416666667,-0.5,-0.5,-0.416666667,-0.416666667,-0.416666667,-0.416666667,-0.416666667,-0.416666667,-0.25,-0.25,-0.333333333,-0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.416666667,-0.5,-0.5,-0.5,-0.5,-0.5
-0.5,0,0,-0.5,0,0,-0.5,0,0,-0.5,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.5,-0.5,0,-0.5,0,-0.5,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
-0.166666667,-0.222222222,-0.277777778,-0.277777778,-0.166666667,-0.222222222,-0.222222222,-0.277777778,-0.166666667,-0.277777778,-0.333333333,-0.333333333,-0.277777778,-0.333333333,-0.277777778,-0.333333333,-0.277777778,-0.333333333,-0.277777778,-0.333333333,-0.277777778,-0.166666667,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.277777778,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333
-0.25,-0.333333333,-0.166666667,-0.166666667,-0.25,-0.333333333,-0.333333333,-0.166666667,-0.25,-0.333333333,-0.25,-0.333333333,-0.333333333,-0.333333333,-0.166666667,-0.25,-0.333333333,-0.25,-0.333333333,-0.25,-0.333333333,-0.25,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333
-0.333333333,-0.111111111,-0.222222222,-0.222222222,-0.333333333,-0.111111111,-0.111111111,-0.222222222,-0.333333333,-0.333333333,-0.333333333,-0.222222222,-0.333333333,-0.222222222,-0.222222222,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.222222222,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333
-0.166666667,-0.222222222,-0.277777778,-0.277777778,-0.166666667,-0.222222222,-0.222222222,-0.277777778,-0.166666667,-0.277777778,-0.5,-0.388888889,-0.333333333,-0.444444444,-0.555555556,-0.388888889,-0.388888889,-0.5,-0.333333333,-0.388888889,-0.388888889,-0.333333333,-0.333333333,-0.5,-0.5,-0.666666667,-0.388888889,-0.444444444,-0.333333333,-0.5,-0.666666667,-0.388888889,-0.444444444,-0.444444444
-0.25,-0.333333333,-0.166666667,-0.166666667,-0.25,-0.333333333,-0.333333333,-0.166666667,-0.25,-0.5,-0.25,-0.5,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.416666667,-0.25,-0.333333333,-0.333333333,-0.416666667,-0.5,-0.666666667,-0.583333333,-0.333333333,-0.333333333,-0.583333333,-0.666666667,-0.5,-0.583333333,-0.333333333,-0.666666667,-0.666666667,-0.666666667
-0.333333333,-0.111111111,-0.222222222,-0.222222222,-0.333333333,-0.111111111,-0.111111111,-0.222222222,-0.333333333,-0.444444444,-0.333333333,-0.222222222,-0.555555556,-0.333333333,-0.444444444,-0.444444444,-0.333333333,-0.333333333,-0.555555556,-0.444444444,-0.333333333,-0.666666667,-0.555555556,-0.333333333,-0.666666667,-0.333333333,-0.555555556,-0.222222222,-0.666666667,-0.666666667,-0.666666667,-0.666666667,-0.555555556,-0.666666667
-0.125,-0.166666667,-0.208333333,-0.208333333,-0.125,-0.166666667,-0.208333333,-0.25,-0.208333333,-0.208333333,-0.25,-0.25,-0.208333333,-0.25,-0.208333333,-0.25,-0.208333333,-0.25,-0.208333333,-0.25,-0.208333333,-0.125,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.208333333,-0.25,-0.25,-0.25,-0.25,-0.25
-0.1875,-0.25,-0.208333333,-0.1875,-0.125,-0.166666667,-0.1875,-0.166666667,-0.208333333,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.229166667,-0.25,-0.25,-0.229166667,-0.229166667,-0.25,-0.1875,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
-0.25,-0.083333333,-0.166666667,-0.25,-0.25,0,-0.25,-0.083333333,-0.166666667,-0.25,-0.25,-0.166666667,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.166666667,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
-0.25,-0.166666667,-0.208333333,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.25,-0.208333333,-0.25,-0.25,-0.25,-0.25,-0.208333333,-0.25,-0.25,-0.25,-0.208333333,-0.25,-0.208333333,-0.208333333,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
-0.25,-0.25,0,-0.25,-0.25,0,-0.25,-0.25,0,-0.25,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
-0.125,-0.166666667,-0.25,-0.291666667,-0.25,-0.333333333,-0.291666667,-0.333333333,-0.25,-0.208333333,-0.375,-0.291666667,-0.25,-0.375,-0.416666667,-0.333333333,-0.291666667,-0.416666667,-0.333333333,-0.416666667,-0.333333333,-0.25,-0.25,-0.375,-0.375,-0.5,-0.291666667,-0.333333333,-0.25,-0.375,-0.5,-0.291666667,-0.333333333,-0.333333333
-0.25,-0.333333333,-0.25,-0.25,-0.25,-0.333333333,-0.25,-0.166666667,-0.25,-0.416666667,-0.375,-0.458333333,-0.375,-0.416666667,-0.375,-0.375,-0.416666667,-0.375,-0.375,-0.375,-0.416666667,-0.375,-0.5,-0.5,-0.4375,-0.5,-0.479166667,-0.5,-0.416666667,-0.5,-0.5,-0.5,-0.5,-0.5
-0.25,-0.166666667,-0.333333333,-0.25,-0.5,0,-0.25,-0.166666667,-0.333333333,-0.333333333,-0.5,-0.333333333,-0.416666667,-0.333333333,-0.416666667,-0.416666667,-0.333333333,-0.416666667,-0.5,-0.5,-0.5,-0.5,-0.416666667,-0.5,-0.5,-0.5,-0.416666667,-0.333333333,-0.5,-0.5,-0.5,-0.5,-0.416666667,-0.5
-0.375,-0.166666667,-0.25,-0.208333333,-0.25,-0.333333333,-0.208333333,-0.333333333,-0.25,-0.458333333,-0.375,-0.291666667,-0.5,-0.291666667,-0.333333333,-0.416666667,-0.375,-0.333333333,-0.416666667,-0.333333333,-0.333333333,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.333333333,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
-0.25,-0.5,0,-0.25,-0.5,0,-0.25,-0.5,0,-0.5,0,-0.5,-0.25,-0.5,-0.25,-0.25,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,0,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.5
-0.125,-0.166666667,-0.208333333,-0.208333333,-0.125,-0.166666667,-0.208333333,-0.25,-0.208333333,-0.208333333,-0.375,-0.291666667,-0.25,-0.333333333,-0.416666667,-0.291666667,-0.291666667,-0.375,-0.25,-0.291666667,-0.291666667,-0.25,-0.25,-0.375,-0.375,-0.5,-0.291666667,-0.333333333,-0.25,-0.375,-0.5,-0.291666667,-0.333333333,-0.333333333
-0.1875,-0.25,-0.208333333,-0.1875,-0.125,-0.166666667,-0.1875,-0.166666667,-0.208333333,-0.375,-0.375,-0.458333333,-0.333333333,-0.375,-0.333333333,-0.354166667,-0.375,-0.333333333,-0.270833333,-0.270833333,-0.333333333,-0.3125,-0.5,-0.625,-0.4375,-0.5,-0.520833333,-0.666666667,-0.458333333,-0.625,-0.5,-0.583333333,-0.666666667,-0.666666667
-0.25,-0.083333333,-0.166666667,-0.25,-0.25,0,-0.25,-0.083333333,-0.166666667,-0.333333333,-0.25,-0.166666667,-0.416666667,-0.333333333,-0.416666667,-0.416666667,-0.333333333,-0.416666667,-0.5,-0.5,-0.25,-0.5,-0.416666667,-0.25,-0.5,-0.25,-0.416666667,-0.166666667,-0.5,-0.5,-0.5,-0.5,-0.416666667,-0.5
-0.25,-0.166666667,-0.208333333,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.25,-0.208333333,-0.416666667,-0.375,-0.291666667,-0.458333333,-0.291666667,-0.291666667,-0.375,-0.333333333,-0.333333333,-0.291666667,-0.25,-0.291666667,-0.375,-0.583333333,-0.375,-0.625,-0.5,-0.541666667,-0.333333333,-0.625,-0.625,-0.75,-0.708333333,-0.583333333,-0.75
-0.25,-0.25,0,-0.25,-0.25,0,-0.25,-0.25,0,-0.5,0,-0.25,-0.25,-0.5,-0.25,-0.25,-0.5,-0.25,-0.5,-0.5,-0.25,-0.5,-0.75,-0.25,-0.25,0,-0.5,-0.25,-0.5,-0.5,-0.25,-0.75,-0.5,-0.75
-0.1875,-0.25,-0.25,-0.1875,0,0,-0.1875,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.1875,-0.1875,-0.25,-0.1875,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
-0.1875,-0.25,-0.25,-0.1875,0,0,-0.1875,-0.25,-0.25,-0.375,-0.5,-0.5,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,-0.1875,-0.1875,-0.25,-0.1875,-0.5,-0.75,-0.5625,-0.75,-0.5625,-0.75,-0.5,-0.75,-0.75,-0.625,-0.75,-0.75
-0.25,-0.166666667,-0.166666667,-0.25,0,0,-0.25,-0.166666667,-0.166666667,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.166666667,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
-0.25,-0.166666667,-0.166666667,-0.25,0,0,-0.25,-0.166666667,-0.166666667,-0.416666667,-0.25,-0.25,-0.416666667,-0.416666667,-0.416666667,-0.416666667,-0.416666667,-0.416666667,-0.25,-0.25,-0.166666667,-0.25,-0.583333333,-0.25,-0.5,-0.25,-0.5,-0.25,-0.583333333,-0.5,-0.5,-0.666666667,-0.5,-0.666666667
-0.1,-0.133333333,-0.166666667,-0.166666667,-0.1,-0.133333333,-0.166666667,-0.2,-0.166666667,-0.166666667,-0.2,-0.2,-0.166666667,-0.2,-0.166666667,-0.2,-0.166666667,-0.2,-0.166666667,-0.2,-0.166666667,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.166666667,-0.2,-0.2,-0.2,-0.2,-0.2
-0.15,-0.2,-0.166666667,-0.166666667,-0.15,-0.2,-0.166666667,-0.133333333,-0.166666667,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.183333333,-0.2,-0.2,-0.2,-0.183333333,-0.2,-0.15,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.2,-0.066666667,-0.133333333,-0.2,-0.2,-0.066666667,-0.2,-0.133333333,-0.2,-0.2,-0.2,-0.133333333,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.133333333,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.2,-0.2,-0.1,-0.15,-0.2,-0.2,-0.15,-0.2,-0.15,-0.2,-0.15,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.15,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.1,-0.133333333,-0.2,-0.233333333,-0.2,-0.266666667,-0.266666667,-0.3,-0.266666667,-0.166666667,-0.3,-0.233333333,-0.2,-0.3,-0.333333333,-0.266666667,-0.233333333,-0.333333333,-0.266666667,-0.333333333,-0.266666667,-0.2,-0.2,-0.3,-0.3,-0.4,-0.233333333,-0.266666667,-0.2,-0.3,-0.4,-0.233333333,-0.266666667,-0.266666667
-0.2,-0.266666667,-0.266666667,-0.283333333,-0.25,-0.333333333,-0.216666667,-0.2,-0.216666667,-0.333333333,-0.35,-0.366666667,-0.3,-0.366666667,-0.4,-0.35,-0.333333333,-0.383333333,-0.35,-0.366666667,-0.366666667,-0.3,-0.4,-0.4,-0.35,-0.4,-0.383333333,-0.4,-0.333333333,-0.4,-0.4,-0.4,-0.4,-0.4
-0.2,-0.133333333,-0.266666667,-0.266666667,-0.4,-0.066666667,-0.333333333,-0.2,-0.333333333,-0.266666667,-0.4,-0.266666667,-0.333333333,-0.333333333,-0.4,-0.333333333,-0.266666667,-0.333333333,-0.4,-0.4,-0.4,-0.4,-0.333333333,-0.4,-0.4,-0.4,-0.333333333,-0.266666667,-0.4,-0.4,-0.4,-0.4,-0.333333333,-0.4
-0.35,-0.2,-0.2,-0.2,-0.25,-0.4,-0.25,-0.3,-0.25,-0.4,-0.3,-0.3,-0.4,-0.3,-0.3,-0.35,-0.35,-0.25,-0.4,-0.3,-0.3,-0.4,-0.4,-0.35,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
-0.2,-0.266666667,-0.3,-0.266666667,-0.1,-0.133333333,-0.233333333,-0.3,-0.233333333,-0.333333333,-0.4,-0.4,-0.333333333,-0.366666667,-0.333333333,-0.366666667,-0.333333333,-0.366666667,-0.266666667,-0.3,-0.3,-0.2,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.333333333,-0.4,-0.4,-0.4,-0.4,-0.4
-0.25,-0.333333333,-0.233333333,-0.216666667,-0.2,-0.266666667,-0.283333333,-0.2,-0.283333333,-0.366666667,-0.35,-0.4,-0.366666667,-0.366666667,-0.3,-0.316666667,-0.383333333,-0.316666667,-0.316666667,-0.3,-0.35,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.366666667,-0.4,-0.4,-0.4,-0.4,-0.4
-0.4,-0.066666667,-0.133333333,-0.333333333,-0.2,-0.133333333,-0.266666667,-0.2,-0.266666667,-0.4,-0.2,-0.133333333,-0.4,-0.333333333,-0.333333333,-0.4,-0.4,-0.4,-0.4,-0.4,-0.2,-0.4,-0.4,-0.2,-0.4,-0.2,-0.4,-0.133333333,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
-0.25,-0.4,-0.1,-0.25,-0.35,-0.2,-0.2,-0.3,-0.2,-0.4,-0.15,-0.4,-0.3,-0.4,-0.3,-0.3,-0.4,-0.3,-0.35,-0.4,-0.4,-0.4,-0.4,-0.4,-0.35,-0.2,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
-0.1,-0.133333333,-0.2,-0.233333333,-0.2,-0.266666667,-0.266666667,-0.3,-0.266666667,-0.166666667,-0.3,-0.233333333,-0.2,-0.3,-0.333333333,-0.266666667,-0.233333333,-0.333333333,-0.266666667,-0.333333333,-0.266666667,-0.2,-0.2,-0.3,-0.3,-0.4,-0.233333333,-0.266666667,-0.2,-0.3,-0.4,-0.233333333,-0.266666667,-0.266666667
-0.2,-0.266666667,-0.266666667,-0.283333333,-0.25,-0.333333333,-0.216666667,-0.2,-0.216666667,-0.333333333,-0.45,-0.433333333,-0.366666667,-0.466666667,-0.433333333,-0.4,-0.416666667,-0.45,-0.383333333,-0.45,-0.416666667,-0.35,-0.4,-0.55,-0.5,-0.6,-0.45,-0.533333333,-0.4,-0.55,-0.6,-0.466666667,-0.533333333,-0.533333333
-0.2,-0.133333333,-0.266666667,-0.266666667,-0.4,-0.066666667,-0.333333333,-0.2,-0.333333333,-0.266666667,-0.4,-0.266666667,-0.333333333,-0.333333333,-0.4,-0.4,-0.333333333,-0.466666667,-0.466666667,-0.533333333,-0.4,-0.4,-0.333333333,-0.4,-0.4,-0.4,-0.333333333,-0.266666667,-0.4,-0.4,-0.4,-0.4,-0.333333333,-0.4
-0.35,-0.2,-0.2,-0.2,-0.25,-0.4,-0.25,-0.3,-0.25,-0.5,-0.3,-0.3,-0.5,-0.3,-0.3,-0.4,-0.4,-0.35,-0.4,-0.35,-0.35,-0.55,-0.6,-0.35,-0.55,-0.4,-0.55,-0.4,-0.6,-0.55,-0.6,-0.6,-0.6,-0.6
-0.2,-0.266666667,-0.3,-0.266666667,-0.1,-0.133333333,-0.233333333,-0.3,-0.233333333,-0.333333333,-0.5,-0.433333333,-0.366666667,-0.433333333,-0.5,-0.4,-0.4,-0.466666667,-0.3,-0.333333333,-0.366666667,-0.3,-0.4,-0.5,-0.5,-0.6,-0.433333333,-0.466666667,-0.366666667,-0.5,-0.6,-0.433333333,-0.466666667,-0.466666667
-0.25,-0.333333333,-0.233333333,-0.216666667,-0.2,-0.266666667,-0.283333333,-0.2,-0.283333333,-0.466666667,-0.35,-0.5,-0.366666667,-0.4,-0.366666667,-0.383333333,-0.416666667,-0.35,-0.35,-0.333333333,-0.416666667,-0.4,-0.6,-0.55,-0.4,-0.4,-0.55,-0.6,-0.466666667,-0.55,-0.4,-0.6,-0.6,-0.6
-0.4,-0.066666667,-0.133333333,-0.333333333,-0.2,-0.133333333,-0.266666667,-0.2,-0.266666667,-0.466666667,-0.2,-0.133333333,-0.533333333,-0.4,-0.466666667,-0.466666667,-0.4,-0.4,-0.533333333,-0.466666667,-0.2,-0.6,-0.533333333,-0.2,-0.6,-0.2,-0.533333333,-0.133333333,-0.6,-0.6,-0.6,-0.6,-0.533333333,-0.6
-0.25,-0.4,-0.1,-0.25,-0.35,-0.2,-0.2,-0.3,-0.2,-0.5,-0.15,-0.5,-0.3,-0.5,-0.3,-0.3,-0.5,-0.3,-0.5,-0.45,-0.45,-0.45,-0.6,-0.55,-0.35,-0.2,-0.55,-0.6,-0.5,-0.6,-0.4,-0.6,-0.6,-0.6
-0.1,-0.133333333,-0.166666667,-0.166666667,-0.1,-0.133333333,-0.166666667,-0.2,-0.166666667,-0.166666667,-0.3,-0.233333333,-0.2,-0.266666667,-0.333333333,-0.233333333,-0.233333333,-0.3,-0.2,-0.233333333,-0.233333333,-0.2,-0.2,-0.3,-0.3,-0.4,-0.233333333,-0.266666667,-0.2,-0.3,-0.4,-0.233333333,-0.266666667,-0.266666667
-0.15,-0.2,-0.166666667,-0.166666667,-0.15,-0.2,-0.166666667,-0.133333333,-0.166666667,-0.3,-0.3,-0.366666667,-0.266666667,-0.333333333,-0.3,-0.3,-0.316666667,-0.3,-0.266666667,-0.3,-0.316666667,-0.3,-0.4,-0.5,-0.35,-0.4,-0.416666667,-0.533333333,-0.366666667,-0.5,-0.4,-0.466666667,-0.533333333,-0.533333333
-0.2,-0.066666667,-0.133333333,-0.2,-0.2,-0.066666667,-0.2,-0.133333333,-0.2,-0.266666667,-0.2,-0.133333333,-0.333333333,-0.266666667,-0.333333333,-0.333333333,-0.266666667,-0.333333333,-0.4,-0.4,-0.2,-0.4,-0.333333333,-0.2,-0.4,-0.2,-0.333333333,-0.133333333,-0.4,-0.4,-0.4,-0.4,-0.333333333,-0.4
-0.2,-0.2,-0.1,-0.15,-0.2,-0.2,-0.15,-0.2,-0.15,-0.4,-0.15,-0.3,-0.3,-0.3,-0.2,-0.25,-0.35,-0.25,-0.35,-0.3,-0.3,-0.4,-0.6,-0.35,-0.35,-0.2,-0.5,-0.4,-0.5,-0.55,-0.4,-0.7,-0.6,-0.8
-0.2,-0.133333333,-0.2,-0.133333333,-0.2,-0.133333333,-0.133333333,-0.166666667,-0.133333333,-0.2,-0.2,-0.2,-0.2,-0.166666667,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.3,-0.2,-0.3,-0.2,-0.3,-0.2,-0.2,-0.25,-0.2,-0.366666667,-0.4,-0.333333333,-0.4,-0.283333333,-0.333333333,-0.366666667,-0.333333333,-0.333333333,-0.366666667,-0.333333333,-0.366666667,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.333333333,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
-0.3,-0.2,-0.3,-0.2,-0.3,-0.2,-0.2,-0.25,-0.2,-0.433333333,-0.5,-0.366666667,-0.5,-0.316666667,-0.366666667,-0.433333333,-0.366666667,-0.366666667,-0.433333333,-0.366666667,-0.433333333,-0.5,-0.533333333,-0.5,-0.6,-0.6,-0.533333333,-0.4,-0.566666667,-0.6,-0.6,-0.6,-0.533333333,-0.6
-0.2,-0.133333333,-0.2,-0.133333333,-0.2,-0.133333333,-0.133333333,-0.166666667,-0.133333333,-0.333333333,-0.4,-0.266666667,-0.4,-0.233333333,-0.266666667,-0.333333333,-0.266666667,-0.266666667,-0.333333333,-0.266666667,-0.333333333,-0.4,-0.466666667,-0.4,-0.6,-0.6,-0.466666667,-0.333333333,-0.533333333,-0.6,-0.8,-0.6,-0.533333333,-0.666666667
